类型,模型权重/数据集,大小,备注,使用测试脚本(相对test/registered/npu)
模型,AI-ModelScope/Llama-3.1-8B-Instruct,32.13 GB,19 files,accuracy/deepseek_v3_2/test_npu_deepseek_v3_2_8p_aime25.py | accuracy/deepseek_v3_2/test_npu_deepseek_v3_2_8p_gsm8k.py | accuracy/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_gpqa.py | accuracy/glm4_6v_flash/test_npu_glm4_6v_flash_1p_mmmu.py | accuracy/glm4_7_flash/test_npu_glm4_7_flash_1p_aime25.py | accuracy/glm4_7_flash/test_npu_glm4_7_flash_1p_gsm8k.py | accuracy/glm5_2/test_npu_glm_5_2_w4a8_8p_gpqa.py | accuracy/glm5_top64_pruned/test_npu_glm5_top64_pruned_bf16_8p_gsm8k.py | accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_4p_in64k_out1k_prefix90_50ms_gpqa.py | accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_8p_in3k5_out1k5_50ms_gpqa.py | accuracy/moonshotai_moonlight_16b_a3b/test_npu_moonlight_16b_a3b_bf16_1p_gsm8k.py | accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in6k_out1k5_bs16_gpqa.py | accuracy/qwen3_30b_a3b/test_npu_qwen3_30b_w8a8_1p_in3k5_out1k5_50ms_aime25.py | accuracy/qwen3_32b/test_npu_qwen3_32b_bf16_8p_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa_a2.py | accuracy/qwen3_5_397b/test_npu_qwen3_5_397b_8p_aime26.py | accuracy/qwen3_5_397b/test_npu_qwen3_5_397b_8p_gpqa.py | accuracy/qwen3_5_9b/test_npu_qwen3_5_9b_bf16_1p_gsm8k.py | accuracy/qwen3_6_27b/test_npu_qwen3_6_27b_1p_gpqa.py | accuracy/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_aime26.py | accuracy/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_prefix90_50ms_aime26.py | accuracy/qwen3_next_80b_a3b_instruct/test_npu_qwen3_next_80b_w8a8_2p_in6k_out1k5_bs16_aime25.py | accuracy/qwen3_omni_30b_a3b_thinking/test_npu_qwen3_omni_30b_a3b_thinking_1p_mmmu.py | accuracy/qwen3_vl_30b_a3b/test_npu_qwen3_vl_30b_a3b_bf16_2p_gsm8k.py | accuracy/qwen3_vl_30b_a3b_thinking/test_npu_qwen3_vl_30b_a3b_thinking_1p_mmmu.py | accuracy/qwen3_vl_8b/test_npu_qwen3_vl_8b_bf16_2p_gsm8k.py | accuracy/qwen3_vl_8b_thinking/test_npu_qwen3_vl_8b_thinking_1p_mmmu.py | basic_function/Custom_weight_loader/test_npu_weight_loader_drop_cache.py | basic_function/Custom_weight_loader/test_npu_weight_loader_prefetch.py | basic_function/EPD/test_npu_epd_disaggregation.py | basic_function/HTTP/test_npu_nccl_port.py | basic_function/HiCache/test_npu_hicache.py | basic_function/HiCache/test_npu_hicache_mha.py | basic_function/HiCache/test_npu_hicache_mla.py | basic_function/HiCache/test_npu_hicache_page.py | basic_function/HiCache/test_npu_hicache_storage_file_backend.py | basic_function/HiCache/test_npu_hicache_storage_runtime_attach_detach.py | basic_function/HiCache/test_npu_hicache_variants.py | basic_function/HiCache/test_npu_hierarchical_cache_mla.py | basic_function/HiCache/test_npu_hierarchical_cache_ttft_mha.py | basic_function/Multi-Modal/test_npu_mm_limit.py | basic_function/api_related/test_npu_api_related_tool_call.py | basic_function/api_related/test_npu_default_chat_template_kwargs.py | basic_function/core/test_npu_hidden_states.py | basic_function/debug_tensor/test_npu_debug_tensor_dump_output_folder.py | basic_function/debug_tensor/test_npu_debug_tensor_dumps.py | basic_function/debug_tensor/test_npu_debug_tensor_input_file.py | basic_function/dllm/test_npu_llada2_mini.py | basic_function/kernel_backends/test_npu_hybrid_attention_backend.py | basic_function/kernel_backends/test_npu_mm_attention_backend.py | basic_function/kernel_backends/test_npu_sampling_backend.py | basic_function/kernel_backends/test_npu_swa_radix_cache_kl.py | basic_function/logging/test_npu_log_level.py | basic_function/logging/test_npu_metrics_bucket_boundary.py | basic_function/lora/test_npu_lora_openai_compatible_supplement.py | basic_function/lora/test_npu_lora_tied_lm_head.py | basic_function/lora/test_npu_lora_update.py | basic_function/mambacache/test_npu_mamba_cache.py | basic_function/mambacache/test_npu_qwen3_next_models.py | basic_function/mambacache/test_npu_qwen3_next_models_mtp.py | basic_function/memory_and_scheduling/test_npu_mixed_chunked_prefill.py | basic_function/memory_and_scheduling/test_npu_no_chunked_prefill.py | basic_function/memory_and_scheduling/test_npu_prefill_delayer.py | basic_function/memory_and_scheduling/test_npu_prefill_max_requests.py | basic_function/memory_and_scheduling/test_npu_request_length_validation.py | basic_function/memory_and_scheduling/test_npu_scheduler_control.py | basic_function/model_override/test_npu_model_override_args.py | basic_function/model_tokenizer/test_npu_model_config_parser.py | basic_function/model_tokenizer/test_npu_multi_detokenizer.py | basic_function/model_tokenizer/test_npu_tokenizer_backend.py | basic_function/msprobe/test_npu_msprobe_dump_config.py | basic_function/offloading/test_npu_offload_modes.py | basic_function/optimization_debug/test_npu_compile_graph_tp1_bf16.py | basic_function/optimization_debug/test_npu_graph_tp1_bf16.py | basic_function/optimization_debug/test_npu_graph_tp2_bf16.py | basic_function/optimization_debug/test_npu_piecewise_graph_prefill.py | basic_function/optimization_debug_options/test_npu_allow_auto_truncate.py | basic_function/optimization_debug_options/test_npu_attn_tp_gather_fuseep.py | basic_function/optimization_debug_options/test_npu_cuda_graph_config.py | basic_function/optimization_debug_options/test_npu_disable_cuda_graph.py | basic_function/optimization_debug_options/test_npu_disable_cuda_graph_padding.py | basic_function/optimization_debug_options/test_npu_disable_tokenizer_batch_decode.py | basic_function/optimization_debug_options/test_npu_embedding_interpolation.py | basic_function/optimization_debug_options/test_npu_enable_custom_logit_processor.py | basic_function/optimization_debug_options/test_npu_enable_mixed_chunk.py | basic_function/optimization_debug_options/test_npu_enable_return_routed_experts.py | basic_function/optimization_debug_options/test_npu_keep_mm_feature_on_device.py | basic_function/optimization_debug_options/test_npu_openai_server_hidden_states.py | basic_function/optimization_debug_options/test_npu_piecewise.py | basic_function/optimization_debug_options/test_npu_pre_warm_nccl.py | basic_function/optimization_debug_options/test_npu_torch_compile_debug.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_deepseek_R1_0528_w4a8_per_channel.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_deepseek_v2.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_deepseek_v3_2_w8a8.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_qwen3_480b.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_qwen3_next.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_deepseek_v2.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_deepseek_v3_2_w8a8.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_qwen3_480b.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_qwen3_next.py | basic_function/parallel_strategy/expert_parallelism/test_npu_eplb_min_rebalancing_utilization_threshold.py | basic_function/parallel_strategy/expert_parallelism/test_npu_init-expert-location.py | basic_function/parallel_strategy/expert_parallelism/test_npu_moe_runner_backend.py | basic_function/parameter/test_npu_batch_notify_size.py | basic_function/parameter/test_npu_custom_sigquit_handler.py | basic_function/parameter/test_npu_enable_streaming_session.py | basic_function/parameter/test_npu_fim_completion.py | basic_function/parameter/test_npu_incremental_streaming_output.py | basic_function/parameter/test_npu_load_snapshot_publish_interval.py | basic_function/parameter/test_npu_log_level.py | basic_function/parameter/test_npu_priority_scheduling.py | basic_function/parameter/test_npu_retract_decode.py | basic_function/parameter/test_npu_ssl.py | basic_function/parameter/test_npu_stream_response_include_usage.py | basic_function/parameter/test_npu_warmups.py | basic_function/pd_disaggregation/test_npu_disaggregation_basic.py | basic_function/pd_disaggregation/test_npu_disaggregation_hybrid_attention.py | basic_function/prefill_only/test_npu_score_engine.py | basic_function/quant/test_npu_autoround_dense.py | basic_function/quant/test_npu_autoround_moe.py | basic_function/quant/test_npu_gguf.py | basic_function/quant/test_npu_gguf_moe.py | basic_function/quant/test_npu_gptq_moe.py | basic_function/quant/test_npu_w4a4_quantization.py | basic_function/quantization_and_data_type/test_npu_dtype.py | basic_function/quantization_and_data_type/test_npu_enable_fp32_lm_head.py | basic_function/quantization_and_data_type/test_npu_kv_cache_dtype.py | basic_function/rl/test_npu_moe_rl_routing_capture.py | basic_function/rl/test_npu_moe_rl_weight_updates_from_disk_and_tensor.py | basic_function/rl/test_npu_rl_release_memory_occupation.py | basic_function/runtime_options/test_npu_disaggregation_pp.py | basic_function/runtime_options/test_npu_pp_single_node.py | basic_function/runtime_options/test_npu_random_seed.py | basic_function/runtime_options/test_npu_skip_tokenizer_init.py | basic_function/runtime_options/test_npu_stream_interval.py | basic_function/runtime_opts/test_npu_mla_fia_w8a8int8.py | basic_function/runtime_opts/test_npu_mla_w8a8int8.py | basic_function/runtime_opts/test_npu_tp1_bf16.py | basic_function/runtime_opts/test_npu_tp2_bf16.py | basic_function/runtime_opts/test_npu_tp2_fia_bf16.py | basic_function/runtime_opts/test_npu_tp4_bf16.py | basic_function/sessions/test_npu_streaming_session.py | basic_function/sessions/test_npu_streaming_session_extra.py | basic_function/sessions/test_npu_streaming_session_swa.py | basic_function/speculative_inference/test_npu_adaptive_speculative.py | basic_function/speculative_inference/test_npu_basic_sanity_eagle3.py | basic_function/speculative_inference/test_npu_eagle3.py | basic_function/speculative_inference/test_npu_eagle_constrained_decoding.py | basic_function/speculative_inference/test_npu_eagle_infer_beta_dp_attention.py | basic_function/speculative_inference/test_npu_spec_eagle.py | basic_function/speculative_inference/test_npu_spec_eagle_parity.py | basic_function/speculative_inference/test_npu_spec_eagle_stress.py | interface/test_npu_matched_stop.py | llm_models/test_npu_afm_4_5b.py | llm_models/test_npu_deepseek_v32_indexcache.py | llm_models/test_npu_deepseek_v3_2_exp_w8a8.py | llm_models/test_npu_deepseek_v3_2_w8a8.py | llm_models/test_npu_ernie_4_5_21b_a3b_pt.py | llm_models/test_npu_gemma_3_4b_it_llm.py | llm_models/test_npu_gpt_oss_120b_bf16.py | llm_models/test_npu_kimi_k2_thinking.py | llm_models/test_npu_ling_lite.py | llm_models/test_npu_llama4_scount_17b_16e.py | llm_models/test_npu_mimo_7b_rl.py | llm_models/test_npu_minimax_m2_bf16.py | llm_models/test_npu_phi_4_multimodal_llm.py | llm_models/test_npu_qwen3_0_6b.py | llm_models/test_npu_qwen3_1_7b_gptq_int8.py | llm_models/test_npu_qwen3_235b_a22b_w8a8.py | llm_models/test_npu_qwen3_30b.py | llm_models/test_npu_qwen3_30b_attn_cp.py | llm_models/test_npu_qwen3_30b_fuseep.py | llm_models/test_npu_qwen3_30b_w4a4.py | llm_models/test_npu_qwen3_32b.py | llm_models/test_npu_qwen3_8b_communications_quantization.py | llm_models/test_npu_qwen3_coder_480b_a35b.py | llm_models/test_npu_qwen3_next_80b.py | llm_models/test_npu_qwq_32b_w8a8.py | llm_models/test_npu_trinity_mini.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in32k_out1k_50ms.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in8k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_prefix90_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1080p_30_out256_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_2p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in3k5_out1k5_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in64k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in128k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in16k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in64k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1080p_30_out256_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in128k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in128k_out1k_prefix90_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in254k_out1k.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in3k5_out1k5_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_2p_in984k_out1k.py | rerank_models/test_npu_qwen3_reranker_8b.py | rerank_models/test_npu_qwen3_vl_reranker_2b.py | reward_models/test_npu_gemma_2_27b_v0_2.py | vlm_models/test_npu_encoder_dp.py | vlm_models/test_npu_gemma_3_4b_it.py | vlm_models/test_npu_glm_4_5v.py | vlm_models/test_npu_janus_pro_1b.py | vlm_models/test_npu_janus_pro_7b.py | vlm_models/test_npu_kimi_vl_a3b_instruct.py | vlm_models/test_npu_mimo_vl_7b_rl.py | vlm_models/test_npu_minicpm_o_2_6.py | vlm_models/test_npu_mistral_small_3_1_24b_instruct_2503.py | vlm_models/test_npu_phi4_multimodal_instruct.py | vlm_models/test_npu_qwen2_5_vl_3b_instruct.py | vlm_models/test_npu_qwen2_5_vl_72b_instruct.py | vlm_models/test_npu_qwen3_asr.py | vlm_models/test_npu_qwen3_omni_30b_a3b_instruct.py | vlm_models/test_npu_qwen3_vl_235b_a22b_instruct.py | vlm_models/test_npu_qwen3_vl_30b_a3b_instruct.py | vlm_models/test_npu_qwen3_vl_4b_instruct.py | vlm_models/test_npu_qwen3_vl_8b_instruct.py | vlm_models/test_npu_step3_vl_10b.py | vlm_models/test_npu_token_id_retokenize_e2e.py | vlm_models/test_npu_vision_openai_server_a.py | vlm_models/test_npu_vlm_input_format.py
模型,LLM-Research/Meta-Llama-3-8B-Instruct,32.13 GB,19 files,basic_function/speculative_inference/test_npu_speculative_token_map.py
模型,LLM-Research/Meta-Llama-3.1-8B-Instruct,32.13 GB,19 files,basic_function/model_tokenizer/test_npu_multi_tokenizer.py
模型,moonshotai/Moonlight-16B-A3B-Instruct,31.93 GB,47 files,accuracy/moonshotai_moonlight_16b_a3b/test_npu_moonlight_16b_a3b_bf16_1p_gsm8k.py
模型,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,31.42 GB,15 files,basic_function/memory_and_scheduling/test_npu_prefill_delayer.py | basic_function/offloading/test_npu_offload_group_size.py | basic_function/offloading/test_npu_offload_modes.py | basic_function/parallel_strategy/expert_parallelism/test_npu_moe_dense_tp_size.py | basic_function/parallel_strategy/expert_parallelism/test_npu_moe_runner_backend.py | basic_function/runtime_options/test_npu_pp_single_node.py
模型,Eco-Tech/Qwen3-30B-A3B-w4a4-LAOS,31.38 GB,18 files,llm_models/test_npu_qwen3_30b_w4a4.py
模型,vllm-ascend/Qwen3-30B-A3B-W8A8,31.29 GB,18 files,accuracy/qwen3_30b_a3b/test_npu_qwen3_30b_w8a8_1p_in3k5_out1k5_50ms_aime25.py
模型,mistralai/Mistral-7B-Instruct-v0.2,29.49 GB,17 files,basic_function/model_tokenizer/test_npu_model_config_parser.py
模型,openai/whisper-large-v3,24.7 GB,"via HF (huggingface.co), 21 files",basic_function/openai_server/test_npu_serving_transcription.py
模型,ZhipuAI/GLM-4.6V-Flash,20.61 GB,15 files,accuracy/glm4_6v_flash/test_npu_glm4_6v_flash_1p_mmmu.py
模型,stepfun-ai/Step3-VL-10B,20.36 GB,27 files,vlm_models/test_npu_step3_vl_10b.py
模型,Qwen/Qwen3.5-9B,19.33 GB,17 files,accuracy/qwen3_5_9b/test_npu_qwen3_5_9b_bf16_1p_gsm8k.py | basic_function/Multi-Modal/test_npu_multimodal_chat_completions.py | basic_function/Multi-Modal/test_npu_multimodal_dp_attention.py | basic_function/Multi-Modal/test_npu_multimodal_gdn_attention.py | basic_function/Multi-Modal/test_npu_multimodal_parallelism.py | basic_function/Multi-Modal/test_npu_multimodal_pd_disaggregation.py | basic_function/Multi-Modal/test_npu_multimodal_spec_decoding.py | basic_function/rl/test_npu_rl_release_memory_occupation.py
模型,Qwen/Qwen3-30B-A3B-GGUF/Qwen3-30B-A3B-Q4_K_M.gguf,18.56 GB,1 files,basic_function/quant/test_npu_gguf_moe.py
模型,Qwen/Qwen3-VL-8B-Instruct,17.55 GB,17 files,accuracy/qwen3_vl_8b/test_npu_qwen3_vl_8b_bf16_2p_gsm8k.py | basic_function/EPD/test_npu_epd_dynamic_register.py | basic_function/Multi-Modal/test_npu_mm_limit.py | basic_function/Multi-Modal/test_npu_multimodal_spec_overlap.py | basic_function/model_tokenizer/test_npu_model_tokenizer_multimodal.py | basic_function/prefix_mm_cache/test_npu_prefix_mm_cache.py | vlm_models/test_npu_qwen3_vl_8b_instruct.py | vlm_models/test_npu_vision_openai_server_a.py
模型,Qwen/Qwen3-VL-8B-Thinking,17.55 GB,17 files,accuracy/qwen3_vl_8b_thinking/test_npu_qwen3_vl_8b_thinking_1p_mmmu.py | basic_function/pp/test_npu_pp_single_node_extra.py
模型,openbmb/MiniCPM-o-2_6,17.43 GB,44 files,basic_function/parameter/test_npu_warmups.py | vlm_models/test_npu_minicpm_o_2_6.py | vlm_models/test_npu_vision_openai_server_a.py
模型,vllm-ascend/DeepSeek-V2-Lite-W8A8,17.22 GB,15 files,basic_function/HiCache/test_npu_hicache_mla.py | basic_function/dp_attn/test_npu_dp_attention.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_deepseek_v2.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_deepseek_v2.py | basic_function/runtime_opts/test_npu_mla_fia_w8a8int8.py | basic_function/runtime_opts/test_npu_mla_w8a8int8.py
模型,Qwen/Qwen3-30B-A3B-GPTQ-Int4,16.95 GB,12 files,basic_function/quant/test_npu_gptq_moe.py
模型,Intel/Qwen3-30B-A3B-Instruct-2507-int4-AutoRound,16.83 GB,18 files,basic_function/quant/test_npu_autoround_moe.py
模型,XiaomiMiMo/MiMo-VL-7B-RL,16.62 GB,18 files,vlm_models/test_npu_mimo_vl_7b_rl.py
模型,Qwen/Qwen3-8B,16.4 GB,16 files,basic_function/Custom_weight_loader/test_npu_weight_loader_drop_cache.py | basic_function/Custom_weight_loader/test_npu_weight_loader_prefetch.py | basic_function/HiCache/test_npu_enable_offload_kvcache.py | basic_function/HiCache/test_npu_hicache_variants.py | basic_function/HiCache/test_npu_hierarchical_cache.py | basic_function/HiCache/test_npu_hierarchical_cache_mutually_exclusive.py | basic_function/HiCache/test_npu_radix_cache.py | basic_function/bench_fn/test_npu_bench_serving_functionality.py | basic_function/kernel_backends/test_npu_constrained_decoding.py | basic_function/optimization_debug_options/test_npu_torch_compile_debug.py | basic_function/sessions/test_npu_session_control.py | basic_function/sessions/test_npu_streaming_session.py | basic_function/sessions/test_npu_streaming_session_extra.py | basic_function/speculative_inference/test_npu_adaptive_speculative.py | basic_function/speculative_inference/test_npu_basic_sanity.py | basic_function/speculative_inference/test_npu_basic_sanity_eagle3.py | basic_function/speculative_inference/test_npu_constrained_decoding_spec_reasoning.py | basic_function/speculative_inference/test_npu_dflash_speculative.py | basic_function/speculative_inference/test_npu_eagle3.py | basic_function/speculative_inference/test_npu_eagle_infer_beta_dp_attention.py | basic_function/speculative_inference/test_npu_skip_dp_mlp_sync.py | interface/test_npu_large_max_new_tokens.py | llm_models/test_npu_qwen3_8b_communications_quantization.py
模型,Qwen/Qwen3-Reranker-8B,16.39 GB,21 files,rerank_models/test_npu_qwen3_reranker_8b.py
模型,openbmb/MiniCPM-V-2_6,16.21 GB,26 files,vlm_models/test_npu_vision_openai_server_a.py
模型,lmms-lab/llava-onevision-qwen2-7b-ov,16.07 GB,19 files,vlm_models/test_npu_vision_openai_server_a.py
模型,XiaomiMiMo/MiMo-7B-RL,15.68 GB,16 files,llm_models/test_npu_mimo_7b_rl.py
模型,Qwen/Qwen2.5-7B-Instruct,15.24 GB,15 files,basic_function/HiCache/test_npu_hicache_mha.py | basic_function/optimization_debug/test_npu_compile_graph_tp1_bf16.py | basic_function/optimization_debug/test_npu_graph_tp1_bf16.py | basic_function/optimization_debug/test_npu_graph_tp2_bf16.py | basic_function/optimization_debug/test_npu_piecewise_graph_prefill.py | basic_function/optimization_debug_options/test_npu_cuda_graph_bs.py | basic_function/runtime_opts/test_npu_tp1_bf16.py | basic_function/runtime_opts/test_npu_tp2_bf16.py | basic_function/runtime_opts/test_npu_tp2_fia_bf16.py
模型,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15.24 GB,13 files,basic_function/api_related/test_npu_reasoning_content.py
模型,Qwen/Qwen3-Embedding-8B,15.15 GB,19 files,embedding_models/test_npu_qwen3_embedding_8b.py
模型,deepseek-ai/Janus-Pro-7B,14.85 GB,14 files,vlm_models/test_npu_janus_pro_7b.py
模型,LLM-Research/Llama-2-7B,13.48 GB,13 files,basic_function/HTTP/test_npu_nccl_port.py
模型,microsoft/Phi-4-multimodal-instruct,12.88 GB,60 files,basic_function/optimization_debug_options/test_npu_keep_mm_feature_on_device.py | llm_models/test_npu_phi_4_multimodal_llm.py | vlm_models/test_npu_phi4_multimodal_instruct.py
模型,Qwen/Qwen3.5-4B,9.34 GB,15 files,basic_function/lora/test_npu_lora_backend.py | basic_function/lora/test_npu_lora_tied_lm_head.py
模型,arcee-ai/AFM-4.5B-Base,9.26 GB,10 files,llm_models/test_npu_afm_4_5b.py
模型,Qwen/Qwen3-VL-4B-Instruct,8.89 GB,15 files,basic_function/EPD/test_npu_epd_disaggregation.py | basic_function/Multi-Modal/test_npu_multimodal_basic.py | basic_function/Multi-Modal/test_npu_multimodal_dp_attention.py | basic_function/Multi-Modal/test_npu_multimodal_offload.py | basic_function/Multi-Modal/test_npu_multimodal_parallelism.py | basic_function/Multi-Modal/test_npu_multimodal_tool_call.py | basic_function/optimization_debug_options/test_npu_embedding_interpolation.py | interface/test_npu_api_encode.py | vlm_models/test_npu_qwen3_vl_4b_instruct.py
模型,google/gemma-3-4b-it,8.64 GB,16 files,basic_function/kernel_backends/test_npu_mm_attention_backend.py | llm_models/test_npu_gemma_3_4b_it_llm.py | vlm_models/test_npu_gemma_3_4b_it.py | vlm_models/test_npu_vlm_input_format.py
模型,Qwen/Qwen2.5-VL-3B-Instruct,7.52 GB,15 files,basic_function/runtime_options/test_npu_skip_tokenizer_init.py | vlm_models/test_npu_qwen2_5_vl_3b_instruct.py | vlm_models/test_npu_token_id_retokenize_e2e.py | vlm_models/test_npu_vlm_input_format.py
模型,Qwen/gte-Qwen2-1.5B-instruct,7.12 GB,via HF: Alibaba-NLP/gte-Qwen2-1.5B-instruct,basic_function/core/test_npu_srt_engine.py
模型,iic/gte_Qwen2-1.5B-instruct,7.11 GB,23 files,basic_function/model_tokenizer/test_npu_openai_embedding.py
模型,lightseekorg/kimi-k2.6-eagle3,6.36 GB,7 files,accuracy/kimi_k2_6/test_npu_kimi_k2_6_w4a8_16p_in64k_out1k_100ms_aime25.py
模型,Intel/Qwen3-8B-int4-AutoRound,6.11 GB,15 files,basic_function/quant/test_npu_autoround_dense.py
模型,rednote-hilab/dots.ocr,6.09 GB,"via HF (huggingface.co), 20 files",vlm_models/test_npu_dots_ocr.py
模型,LLM-Research/Llama-3.2-1B,4.95 GB,15 files,basic_function/Custom_weight_loader/test_npu_update_weights_from_disk.py | basic_function/optimization_debug_options/test_npu_enable_profile_cuda_graph.py | basic_function/rl/test_npu_multi_instance_release_memory_occupation.py | basic_function/rl/test_npu_rl_release_memory_occupation.py | basic_function/runtime_options/test_npu_sleep_on_idle.py
